doc_id,subject,subject_type,relation,object,object_type,evidence_text,confidence,extraction_method,source,llm_valid,llm_confidence,valid,error,final_confidence
37079,ISSUE,ISSUE,has_error_code,MNO789012,ERROR_CODE,"Okay, let passport number is MNO789012.",0.95,regex,talkmap,True,0.95,,,0.95
98672,CUSTOMER,CUSTOMER,related_to_account,91-,PHONE_NUMBER,"Sure, the number is +91-1234-567890 and I tried to call yesterday afternoon around 3 pm.",0.95,regex,talkmap,True,0.95,,,0.95
82209,ISSUE,ISSUE,related_to_account,GC1234,ACCOUNT_ID,"Sure, they are GC1234, GC5678, and GC9012.",0.95,regex,talkmap,True,0.95,,,0.95
82209,ISSUE,ISSUE,has_error_code,GC9012,ERROR_CODE,"Sure, they are GC1234, GC5678, and GC9012.",0.95,regex,talkmap,True,0.95,,,0.95
82209,ISSUE,ISSUE,related_to_account,GC5678,ACCOUNT_ID,"Sure, they are GC1234, GC5678, and GC9012.",0.95,regex,talkmap,True,0.95,,,0.95
82209,ISSUE,ISSUE,related_to_account,GC9012,ACCOUNT_ID,"Sure, they are GC1234, GC5678, and GC9012.",0.95,regex,talkmap,True,0.95,,,0.95
82209,ISSUE,ISSUE,has_error_code,GC1234,ERROR_CODE,"Sure, they are GC1234, GC5678, and GC9012.",0.95,regex,talkmap,True,0.95,,,0.95
82209,ISSUE,ISSUE,has_error_code,GC5678,ERROR_CODE,"Sure, they are GC1234, GC5678, and GC9012.",0.95,regex,talkmap,True,0.95,,,0.95
70947,ISSUE,ISSUE,related_to_account,ABC9234567890,ACCOUNT_ID,"Sure thing my policy number is ABC9234567890, and I purchased my phone on February 10th of year.",0.95,regex,talkmap,True,0.95,,,0.95
70947,ISSUE,ISSUE,has_error_code,ABC9234567890,ERROR_CODE,"Sure thing my policy number is ABC9234567890, and I purchased my phone on February 10th of year.",0.95,regex,talkmap,True,0.95,,,0.95
93832,ISSUE,ISSUE,related_to_account,GGX1234,ACCOUNT_ID,"Okay, I think I found it. It's GGX1234.",0.95,regex,talkmap,True,0.95,,,0.95
93832,ISSUE,ISSUE,has_error_code,GGX1234,ERROR_CODE,"Okay, I think I found it. It's GGX1234.",0.95,regex,talkmap,True,0.95,,,0.95
51579,CUSTOMER,CUSTOMER,related_to_account,44,PHONE_NUMBER,"Hi Sarah, my account number is 1234567890 and the phone number I'm trying to call is +44 1234 567890.",0.95,regex,talkmap,True,0.95,,,0.95
68613,ISSUE,ISSUE,has_error_code,UNION10,ERROR_CODE,"Certainly. I can set up the subscription for you over the phone, or you can visit our website and sign up online. If you choose to sign up online, you can use the promo code ""UNION10"" to receive the discounted rate.",0.95,regex,talkmap,True,0.95,,,0.95
55229,ISSUE,ISSUE,related_to_account,XXXX-1234,ACCOUNT_ID,"Sure, it's XX-XXXX-XXXX-1234.",0.95,regex,talkmap,True,0.95,,,0.95
55229,ISSUE,ISSUE,has_error_code,XXXX-1234,ERROR_CODE,"Sure, it's XX-XXXX-XXXX-1234.",0.95,regex,talkmap,True,0.95,,,0.95
90697,ISSUE,ISSUE,related_to_account,JGH9567890,ACCOUNT_ID,"Okay, my account PIN is 1234, and the serial number of JGH9567890.",0.95,regex,talkmap,True,0.95,,,0.95
90697,ISSUE,ISSUE,has_error_code,JGH9567890,ERROR_CODE,"Okay, my account PIN is 1234, and the serial number of JGH9567890.",0.95,regex,talkmap,True,0.95,,,0.95
76477,ISSUE,ISSUE,related_to_account,ABC123456789,ACCOUNT_ID,"Sure, the serial number is ABC123456789.",0.95,regex,talkmap,True,0.95,,,0.95
76477,ISSUE,ISSUE,has_error_code,ABC123456789,ERROR_CODE,"Sure, the serial number is ABC123456789.",0.95,regex,talkmap,True,0.95,,,0.95
68569,ISSUE,ISSUE,has_error_code,FT-100,ERROR_CODE,"Thank you, Aurelia. I'm checking on the status of your request. It looks like we have the FT-100 model in stock. Would you like me to proceed with shipping a to you?",0.95,regex,talkmap,True,0.95,,,0.95
11342,ISSUE,ISSUE,has_error_code,HS200,ERROR_CODE,That sounds like! Can I get the Union Mobile HS200 headset with to my address?,0.95,regex,talkmap,True,0.95,,,0.95
13365,ISSUE,ISSUE,related_to_account,RN1234,ACCOUNT_ID,"Of course, Spencer. I'll provide you with a reference number. It's RN1234. Please have that readyy when you call the billing department.",0.95,regex,talkmap,True,0.95,,,0.95
13365,ISSUE,ISSUE,has_error_code,RN1234,ERROR_CODE,"Of course, Spencer. I'll provide you with a reference number. It's RN1234. Please have that readyy when you call the billing department.",0.95,regex,talkmap,True,0.95,,,0.95
61045,ISSUE,ISSUE,related_to_account,XYZ-1234,ACCOUNT_ID,"Okay, sure. My account number is 1234567890 and the model is XYZ-1234.",0.95,regex,talkmap,True,0.95,,,0.95
50527,CUSTOMER,CUSTOMER,related_to_account,01,PHONE_NUMBER,"Yes, I do. The routing number is 123456789 and the account number is 0123456789.",0.95,regex,talkmap,True,0.95,,,0.95
56542,ISSUE,ISSUE,has_error_code,RB3456,ERROR_CODE,"Sure, it's RB3456.",0.95,regex,talkmap,True,0.95,,,0.95
60101,ISSUE,ISSUE,has_error_code,RQ12345,ERROR_CODE,"Sure, it's RQ12345.",0.95,regex,talkmap,True,0.95,,,0.95
51164,ISSUE,ISSUE,related_to_account,RB-1234567890,ACCOUNT_ID,"Sure, it's RB-1234567890.",0.95,regex,talkmap,True,0.95,,,0.95
9349,ISSUE,ISSUE,related_to_account,UM-1234,ACCOUNT_ID,Absolutely! I can provide you with a reference number. Your reference number for this request is UM-1234. You keep this number handy when you speak with our technical support team. They'll be able to look up your request and assist you much faster.,0.95,regex,talkmap,True,0.95,,,0.95
9349,ISSUE,ISSUE,has_error_code,UM-1234,ERROR_CODE,Absolutely! I can provide you with a reference number. Your reference number for this request is UM-1234. You keep this number handy when you speak with our technical support team. They'll be able to look up your request and assist you much faster.,0.95,regex,talkmap,True,0.95,,,0.95
56478,ISSUE,ISSUE,related_to_account,XG1200,ACCOUNT_ID,"It's a wireless controller, it's the XG1200 model.",0.95,regex,talkmap,True,0.95,,,0.95
56478,ISSUE,ISSUE,has_error_code,XG1200,ERROR_CODE,"It's a wireless controller, it's the XG1200 model.",0.95,regex,talkmap,True,0.95,,,0.95
56542,ISSUE,ISSUE,related_to_account,RB3456,ACCOUNT_ID,"Sure, it's RB3456.",0.95,regex,talkmap,True,0.95,,,0.95
60101,ISSUE,ISSUE,related_to_account,RQ12345,ACCOUNT_ID,"Sure, it's RQ12345.",0.95,regex,talkmap,True,0.95,,,0.95
51164,ISSUE,ISSUE,has_error_code,RB-1234567890,ERROR_CODE,"Sure, it's RB-1234567890.",0.95,regex,talkmap,True,0.95,,,0.95
71894,ISSUE,ISSUE,related_to_account,XYZ1234567890,ACCOUNT_ID,"Uh, okay. It's XYZ1234567890.",0.95,regex,talkmap,True,0.95,,,0.95
71894,ISSUE,ISSUE,has_error_code,XYZ1234567890,ERROR_CODE,"Uh, okay. It's XYZ1234567890.",0.95,regex,talkmap,True,0.95,,,0.95
93762,ISSUE,ISSUE,has_error_code,ABC456,ERROR_CODE,"Thank you, Esther. Let me check that for you. It looks like the ABC456 phone case is indeed compatible with your XYZ123 phone model.",0.95,regex,talkmap,True,0.95,,,0.95
74121,ISSUE,ISSUE,related_to_account,MB7420,ACCOUNT_ID,"Sure, my router is a Netgear Nighthawk R7000 and my modem is a Motorola MB7420.",0.95,regex,talkmap,True,0.95,,,0.95
75942,ISSUE,ISSUE,has_error_code,XX555,ERROR_CODE,"Yes, my name is Alyce and my phone number is XX555-555-1234.",0.95,regex,talkmap,True,0.95,,,0.95
72553,CUSTOMER,CUSTOMER,related_to_account,15,PHONE_NUMBER,*sighs* Fine. It's 1542367890.,0.95,regex,talkmap,True,0.95,,,0.95
74624,ISSUE,ISSUE,has_error_code,XYZ-101,ERROR_CODE,"Sure, the model are XYZ-101 and ABC-500. and my router is a Union Mobile branded one.",0.95,regex,talkmap,True,0.95,,,0.95
74136,ISSUE,ISSUE,related_to_account,XYZ123456789,ACCOUNT_ID,"Sure, it's a Dell Latitude 5400 with a serial number of XYZ123456789.",0.95,regex,talkmap,True,0.95,,,0.95
74136,ISSUE,ISSUE,has_error_code,XYZ123456789,ERROR_CODE,"Sure, it's a Dell Latitude 5400 with a serial number of XYZ123456789.",0.95,regex,talkmap,True,0.95,,,0.95
94830,ISSUE,ISSUE,related_to_account,LM1234,ACCOUNT_ID,"Sure, my account name is LM1234 and I'm using a Samsung Galaxy S21.",0.95,regex,talkmap,True,0.95,,,0.95
94830,ISSUE,ISSUE,has_error_code,LM1234,ERROR_CODE,"Sure, my account name is LM1234 and I'm using a Samsung Galaxy S21.",0.95,regex,talkmap,True,0.95,,,0.95
1135,ISSUE,ISSUE,related_to_account,UMX1234,ACCOUNT_ID,"Sure, the model number of my phone is UMX1234, and the serial number of the camera lens is LENS00123456789.",0.95,regex,talkmap,True,0.95,,,0.95
1135,ISSUE,ISSUE,related_to_account,LENS00123456789,ACCOUNT_ID,"Sure, the model number of my phone is UMX1234, and the serial number of the camera lens is LENS00123456789.",0.95,regex,talkmap,True,0.95,,,0.95
12573,CUSTOMER,CUSTOMER,related_to_account,56,PHONE_NUMBER,"This is frustrating. Fine, my account number is actually 5678901234.",0.95,regex,talkmap,True,0.95,,,0.95
7882,CUSTOMER,CUSTOMER,related_to_account,003,PHONE_NUMBER,I'm in France and my phone number is 00331234567890.,0.95,regex,talkmap,True,0.95,,,0.95
75253,ISSUE,ISSUE,related_to_account,JKL87654321,ACCOUNT_ID,It's JKL87654321.,0.95,regex,talkmap,True,0.95,,,0.95
75253,ISSUE,ISSUE,has_error_code,JKL87654321,ERROR_CODE,It's JKL87654321.,0.95,regex,talkmap,True,0.95,,,0.95
1135,ISSUE,ISSUE,has_error_code,UMX1234,ERROR_CODE,"Sure, the model number of my phone is UMX1234, and the serial number of the camera lens is LENS00123456789.",0.95,regex,talkmap,True,0.95,,,0.95
1135,ISSUE,ISSUE,has_error_code,LENS00123456789,ERROR_CODE,"Sure, the model number of my phone is UMX1234, and the serial number of the camera lens is LENS00123456789.",0.95,regex,talkmap,True,0.95,,,0.95
61713,CUSTOMER,CUSTOMER,related_to_account,125,PHONE_NUMBER,"Sure, my account number is 1234567890 and the phone number I'm trying to message is +12555)123-4567.",0.95,regex,talkmap,True,0.95,,,0.95
74121,ISSUE,ISSUE,has_error_code,MB7420,ERROR_CODE,"Sure, my router is a Netgear Nighthawk R7000 and my modem is a Motorola MB7420.",0.95,regex,talkmap,True,0.95,,,0.95
63760,ISSUE,ISSUE,related_to_account,XX12345,ACCOUNT_ID,"Sure, the's XX12345.",0.95,regex,talkmap,True,0.95,,,0.95
63760,ISSUE,ISSUE,has_error_code,XX12345,ERROR_CODE,"Sure, the's XX12345.",0.95,regex,talkmap,True,0.95,,,0.95
60787,CUSTOMER,CUSTOMER,related_to_account,49,PHONE_NUMBER,"Yes, the'm trying to call my friend who's studying abroad in Germany. The number is +49 1234 567890.",0.95,regex,talkmap,True,0.95,,,0.95
51767,ISSUE,ISSUE,has_error_code,ABC123,ERROR_CODE,"Sure, my phone's model is XYZ and the serial number is ABC123. And no, I haven't noticed any physical damage to the charging port.",0.95,regex,talkmap,True,0.95,,,0.95
16624,ISSUE,ISSUE,related_to_account,JKL34567890,ACCOUNT_ID,*sighs* Fine. The serial number is JKL34567890,0.95,regex,talkmap,True,0.95,,,0.95
16624,ISSUE,ISSUE,has_error_code,JKL34567890,ERROR_CODE,*sighs* Fine. The serial number is JKL34567890,0.95,regex,talkmap,True,0.95,,,0.95
95538,ISSUE,ISSUE,related_to_account,XX456789,ACCOUNT_ID,"Sure, it's XX456789.",0.95,regex,talkmap,True,0.95,,,0.95
95538,ISSUE,ISSUE,has_error_code,XX456789,ERROR_CODE,"Sure, it's XX456789.",0.95,regex,talkmap,True,0.95,,,0.95
52595,ISSUE,ISSUE,has_error_code,XYZ-100,ERROR_CODE,"Sure, my account number is , and the models of my devices are XYZ-100 and ABC-200.",0.95,regex,talkmap,True,0.95,,,0.95
52595,ISSUE,ISSUE,has_error_code,ABC-200,ERROR_CODE,"Sure, my account number is , and the models of my devices are XYZ-100 and ABC-200.",0.95,regex,talkmap,True,0.95,,,0.95
1437,ISSUE,ISSUE,related_to_account,ABC123456,ACCOUNT_ID,"Sure, my account number is 1234567890 and the serial number of my SIM card is ABC123456.",0.95,regex,talkmap,True,0.95,,,0.95
1437,ISSUE,ISSUE,has_error_code,ABC123456,ERROR_CODE,"Sure, my account number is 1234567890 and the serial number of my SIM card is ABC123456.",0.95,regex,talkmap,True,0.95,,,0.95
75270,ISSUE,ISSUE,has_error_code,IP68,ERROR_CODE,"Sure thing! The XXL max has a stunning 7.5-inch AMOLED display, a powerful octa-core processor, 8GB of RAM, and a high-quality quad-camera setup. It's also IP68 water and dust resistant, so it can withstand life's mishaps.",0.95,regex,talkmap,True,0.95,,,0.95
54884,ISSUE,ISSUE,has_error_code,ACC100,ERROR_CODE,"Yes, the UM-ACC100 is compatible with the Samsung Galaxy S21. You can check the compatibility list on our website or contact our customer support team for more assistance.",0.95,regex,talkmap,True,0.95,,,0.95
91404,ISSUE,ISSUE,related_to_account,XYZ1234567,ACCOUNT_ID,"Sure, it's XYZ1234567",0.95,regex,talkmap,True,0.95,,,0.95
91404,ISSUE,ISSUE,has_error_code,XYZ1234567,ERROR_CODE,"Sure, it's XYZ1234567",0.95,regex,talkmap,True,0.95,,,0.95
52904,ISSUE,ISSUE,related_to_account,XYZ12345,ACCOUNT_ID,Sure. It's XYZ12345.,0.95,regex,talkmap,True,0.95,,,0.95
9659,CUSTOMER,CUSTOMER,related_to_account,1,PHONE_NUMBER,"Sure, it's +1 555-555-5555.",0.95,regex,talkmap,True,0.95,,,0.95
52904,ISSUE,ISSUE,has_error_code,XYZ12345,ERROR_CODE,Sure. It's XYZ12345.,0.95,regex,talkmap,True,0.95,,,0.95
7282,ISSUE,ISSUE,related_to_account,XYZ-1000,ACCOUNT_ID,"Sure, my account number is 1234567890 and my device model is XYZ-1000.",0.95,regex,talkmap,True,0.95,,,0.95
7282,ISSUE,ISSUE,has_error_code,XYZ-1000,ERROR_CODE,"Sure, my account number is 1234567890 and my device model is XYZ-1000.",0.95,regex,talkmap,True,0.95,,,0.95
74624,ISSUE,ISSUE,has_error_code,ABC-500,ERROR_CODE,"Sure, the model are XYZ-101 and ABC-500. and my router is a Union Mobile branded one.",0.95,regex,talkmap,True,0.95,,,0.95
8178,ISSUE,ISSUE,related_to_account,HX-1000,ACCOUNT_ID,"Sure, they're the Union Mobile HX-1000 and I've had them for about 6 months now.",0.95,regex,talkmap,True,0.95,,,0.95
50359,ISSUE,ISSUE,related_to_account,ABCYZ1234,ACCOUNT_ID,"Sure, they're ABCYZ1234 and ABC5678.",0.95,regex,talkmap,True,0.95,,,0.95
50359,ISSUE,ISSUE,related_to_account,ABC5678,ACCOUNT_ID,"Sure, they're ABCYZ1234 and ABC5678.",0.95,regex,talkmap,True,0.95,,,0.95
50359,ISSUE,ISSUE,has_error_code,ABCYZ1234,ERROR_CODE,"Sure, they're ABCYZ1234 and ABC5678.",0.95,regex,talkmap,True,0.95,,,0.95
50359,ISSUE,ISSUE,has_error_code,ABC5678,ERROR_CODE,"Sure, they're ABCYZ1234 and ABC5678.",0.95,regex,talkmap,True,0.95,,,0.95
17519,CUSTOMER,CUSTOMER,related_to_account,32,PHONE_NUMBER,"Sure, it's +32 06 8765 4321.",0.95,regex,talkmap,True,0.95,,,0.95
17784,CUSTOMER,CUSTOMER,related_to_account,987,PHONE_NUMBER,"Sure, it's 9876543210.876.",0.95,regex,talkmap,True,0.95,,,0.95
89481,ISSUE,ISSUE,related_to_account,JKL1234,ACCOUNT_ID,"Okay, let me try my driver's license number. It's JKL1234.",0.95,regex,talkmap,True,0.95,,,0.95
89481,ISSUE,ISSUE,has_error_code,JKL1234,ERROR_CODE,"Okay, let me try my driver's license number. It's JKL1234.",0.95,regex,talkmap,True,0.95,,,0.95
48839,ISSUE,ISSUE,related_to_account,JYZ1234567890,ACCOUNT_ID,"Sure, it's JYZ1234567890.",0.95,regex,talkmap,True,0.95,,,0.95
48839,ISSUE,ISSUE,has_error_code,JYZ1234567890,ERROR_CODE,"Sure, it's JYZ1234567890.",0.95,regex,talkmap,True,0.95,,,0.95
78117,ISSUE,ISSUE,has_error_code,TRAN23,ERROR_CODE,"Great't worry, Bernardo. I can give you the number right now. It's 1-800-TRAN23-4567. You can call that number anytime, and our automated system will guide you through the process.",0.95,regex,talkmap,True,0.95,,,0.95
78405,ISSUE,ISSUE,related_to_account,XYZ1234,ACCOUNT_ID,"Sure, it's XYZ1234.",0.95,regex,talkmap,True,0.95,,,0.95
78405,ISSUE,ISSUE,has_error_code,XYZ1234,ERROR_CODE,"Sure, it's XYZ1234.",0.95,regex,talkmap,True,0.95,,,0.95
78450,ISSUE,ISSUE,has_error_code,XXKL456,ERROR_CODE,"Ugh, seriously? Fine. It's XXKL456. ButMorgan: Thank you, Waylon. One, can you tell me what exactly happens when you try to connect the controllers to your phone?",0.95,regex,talkmap,True,0.95,,,0.95
46321,ISSUE,ISSUE,related_to_account,XXYZ1234567890,ACCOUNT_ID,"Sure, it's XXYZ1234567890.",0.95,regex,talkmap,True,0.95,,,0.95
46321,ISSUE,ISSUE,has_error_code,XXYZ1234567890,ERROR_CODE,"Sure, it's XXYZ1234567890.",0.95,regex,talkmap,True,0.95,,,0.95
45877,ISSUE,ISSUE,has_error_code,XX-200,ERROR_CODE,"Sure, it's XX-200.",0.95,regex,talkmap,True,0.95,,,0.95
20667,ISSUE,ISSUE,related_to_account,FGH4567890,ACCOUNT_ID,"Sure, it's FGH4567890.",0.95,regex,talkmap,True,0.95,,,0.95
20667,ISSUE,ISSUE,has_error_code,FGH4567890,ERROR_CODE,"Sure, it's FGH4567890.",0.95,regex,talkmap,True,0.95,,,0.95
45273,CUSTOMER,CUSTOMER,related_to_account,,PHONE_NUMBER,"Of course, Maybell. I'm happy to assist you. Okay, I've checked on your account and it looks like there was an issue with your login credentials. I've reset them for you, and I'll give you a new temporary password. Can you please try logging in again using the following password: 12345678?",0.95,regex,talkmap,True,0.95,,,0.95
21446,ISSUE,ISSUE,related_to_account,JKL4234567890,ACCOUNT_ID,"Sure, it's a Union Mobile X15, and the serial number is JKL4234567890.",0.95,regex,talkmap,True,0.95,,,0.95
21446,ISSUE,ISSUE,has_error_code,JKL4234567890,ERROR_CODE,"Sure, it's a Union Mobile X15, and the serial number is JKL4234567890.",0.95,regex,talkmap,True,0.95,,,0.95
100795,ISSUE,ISSUE,related_to_account,ESL01877347,ACCOUNT_ID,Comcast Re-Escalation of Case # ESL01877347 - ORR,0.95,regex,comcast,True,0.95,,,0.95
100795,ISSUE,ISSUE,has_error_code,ESL01877347,ERROR_CODE,Comcast Re-Escalation of Case # ESL01877347 - ORR,0.95,regex,comcast,True,0.95,,,0.95
96611,ISSUE,ISSUE,has_error_code,GZK-1234,ERROR_CODE,"Sure, the accident happened at the intersection of Main Street and Elm Avenue. The vehicle was a silver sedan with a broken rearview mirror and a damaged front bumper. The license plate number was GZK-1234. The driver was a Caucasian male in his mid-30s, wearing a black baseball cap and sunglasses. He looked like he was in a hurry and didn't stop to check on the pedestrian he hit.",0.95,regex,talkmap,True,0.95,,,0.95
96611,ISSUE,ISSUE,related_to_account,GZK-1234,ACCOUNT_ID,"Sure, the accident happened at the intersection of Main Street and Elm Avenue. The vehicle was a silver sedan with a broken rearview mirror and a damaged front bumper. The license plate number was GZK-1234. The driver was a Caucasian male in his mid-30s, wearing a black baseball cap and sunglasses. He looked like he was in a hurry and didn't stop to check on the pedestrian he hit.",0.95,regex,talkmap,True,0.95,,,0.95
22348,CUSTOMER,CUSTOMER,related_to_account,011-,PHONE_NUMBER,"Sure, it's 011-34-678-9012.",0.95,regex,talkmap,True,0.95,,,0.95
43471,CUSTOMER,CUSTOMER,related_to_account,44-,PHONE_NUMBER,"Of course, no problem. So, to format an international number for our system, you need to remove the first zero and the hyphen. So, for the number you gave me, 011-44-7912-3456789, you would simply dial +44-7912-3456789.",0.95,regex,talkmap,True,0.95,,,0.95
23490,CUSTOMER,CUSTOMER,related_to_account,2,PHONE_NUMBER,"Now, enter the following information exactly as I say it: For the APN field, enter ""union-mobile""; for the MMSC field, enter "" and for the MMS proxy field, enter ""216.155.165.07"".",0.95,regex,talkmap,True,0.95,,,0.95
42664,ISSUE,ISSUE,related_to_account,RG1234567890,ACCOUNT_ID,"Sure, it's RG1234567890.",0.95,regex,talkmap,True,0.95,,,0.95
42664,ISSUE,ISSUE,has_error_code,RG1234567890,ERROR_CODE,"Sure, it's RG1234567890.",0.95,regex,talkmap,True,0.95,,,0.95
87275,CUSTOMER,CUSTOMER,related_to_account,81,PHONE_NUMBER,"Thank you, Ophelia. One moment please while I check on that for you. It looks like the issue is indeed the number formatting. The country code for Japan is actually +81, but the number you provided has an extra digit at the beginning. Can you try dialing the number without the extra zero? So, it would be +81 90 1234 5678 instead of +81 090 1234 5678?",0.95,regex,talkmap,True,0.95,,,0.95
42403,ISSUE,ISSUE,related_to_account,RMA-12345,ACCOUNT_ID,"Absolutely, Your reference number is RMA-12345 You can use this number to track the status of your repair on our website or by contacting our customer service team. Is there anything else I can assist you with today, Emory?",0.95,regex,talkmap,True,0.95,,,0.95
42403,ISSUE,ISSUE,has_error_code,RMA-12345,ERROR_CODE,"Absolutely, Your reference number is RMA-12345 You can use this number to track the status of your repair on our website or by contacting our customer service team. Is there anything else I can assist you with today, Emory?",0.95,regex,talkmap,True,0.95,,,0.95
42183,CUSTOMER,CUSTOMER,related_to_account,47,PHONE_NUMBER,"Sure, my account number is . The international number I'd like to add is +47 123 456 7890.",0.95,regex,talkmap,True,0.95,,,0.95
41962,ISSUE,ISSUE,has_error_code,UMX10,ERROR_CODE,"It's a Union Mobile Xed phone, the UMX10.",0.95,regex,talkmap,True,0.95,,,0.95
41463,ISSUE,ISSUE,related_to_account,ABC-5678,ACCOUNT_ID,"Sure, my account number is 1234567890 and the devices are XYZ-1234 and ABC-5678.",0.95,regex,talkmap,True,0.95,,,0.95
41463,ISSUE,ISSUE,has_error_code,ABC-5678,ERROR_CODE,"Sure, my account number is 1234567890 and the devices are XYZ-1234 and ABC-5678.",0.95,regex,talkmap,True,0.95,,,0.95
40649,ISSUE,ISSUE,related_to_account,LM123456,ACCOUNT_ID,"Hi Nevada, thanks for helping me. My account name is Genevieve Smith, and the affectedT device's ID is LM123456.",0.95,regex,talkmap,True,0.95,,,0.95
40649,ISSUE,ISSUE,has_error_code,LM123456,ERROR_CODE,"Hi Nevada, thanks for helping me. My account name is Genevieve Smith, and the affectedT device's ID is LM123456.",0.95,regex,talkmap,True,0.95,,,0.95
86081,ISSUE,ISSUE,related_to_account,UMGG1000,ACCOUNT_ID,"Sure, it's a Union Mobile Gaming-optimized phone, model number UMGG1000.",0.95,regex,talkmap,True,0.95,,,0.95
86081,ISSUE,ISSUE,has_error_code,UMGG1000,ERROR_CODE,"Sure, it's a Union Mobile Gaming-optimized phone, model number UMGG1000.",0.95,regex,talkmap,True,0.95,,,0.95
