text,label
data plan,SERVICE
5,CARDINAL
GB,GPE
Leann,PERSON
Dana,PERSON
Randolph,PERSON
today,DATE
router,PRODUCT
Kacey,PERSON
today,DATE
Carolina,GPE
Eileen,PERSON
today,DATE
Renaldo,PERSON
one,CARDINAL
upgrade,ACTION
Shirley,PERSON
router,PRODUCT
Margaret,PERSON
Union Mobile,ORG
Theodore,PERSON
today,DATE
Ciara,PERSON
Talia,PERSON
Goode,PERSON
PIN,ORG
1234,CARDINAL
Irving,PERSON
one,CARDINAL
Emmett,PERSON
1%,PERCENT
Mitzi,PERSON
First,ORDINAL
Software Update,WORK_OF_ART
today,DATE
First,ORDINAL
iPhone,PRODUCT
roaming,SERVICE
roaming,SERVICE
April,DATE
Union Mobile,ORG
iPhone,PRODUCT
Susan,PERSON
Marion,PERSON
internet,SERVICE
Randolph,PERSON
Mittie,PERSON
last month,DATE
5,CARDINAL
GB,GPE
Keisha,PERSON
one,CARDINAL
Bluetooth,PERSON
Fitbit,PRODUCT
cancel,ACTION
Union Mobile,ORG
Ross,PERSON
today,DATE
Eva,PERSON
iPhone,PRODUCT
Aurelia,ORG
Union Mobile,ORG
Dina,PERSON
today,DATE
Bernadine,PERSON
Biometric Login,WORK_OF_ART
Carrie,PERSON
Roaming,SERVICE
30,MONEY
555,CARDINAL
Asher,PERSON
Union Mobile,ORG
PIN,ORG
the last,DATE
the past few days,DATE
dropped calls,ISSUE
the past few days,DATE
Union Mobile,ORG
Flora,PERSON
today,DATE
Al're,PERSON
Union Mobile,ORG
Union Mobile,ORG
Lily,PERSON
today,DATE
morning,TIME
Union Mobile,ORG
Cynthia,PERSON
today,DATE
Moriah,PERSON
PIN,ORG
1234,CARDINAL
hours,TIME
Consuelo,PERSON
Union Mobile,ORG
XXXXXXX,PERSON
Valerie,PERSON
Nathan,PERSON
the past week,DATE
Dave,PERSON
First,ORDINAL
escalate,ACTION
Shante,PERSON
today,DATE
Lane,PERSON
Marlee,PERSON
Jorden,PERSON
1234567890,CARDINAL
Lock,WORK_OF_ART
Wipe Device,WORK_OF_ART
Jed,PERSON
one,CARDINAL
one,CARDINAL
Emma,PERSON
Union Mobile,ORG
Vicente,PERSON
XX,GPE
Arleen,PERSON
today,DATE
Cale,PERSON
Grace,PERSON
Japan,GPE
Union Mobile,ORG
Kyla,PERSON
today,DATE
Pearl,PERSON
today,DATE
Tiny,PERSON
PIN,ORG
Bernadine,PERSON
1234,CARDINAL
555,CARDINAL
Deja,PERSON
PIN,ORG
1234,CARDINAL
Arthur,PERSON
Xperia Z5,FAC
GameBoost Pro,ORG
Premium,ORG
Erin,PERSON
today,DATE
Customer Care,ORG
First,ORDINAL
Backup &,ORG
reset,ACTION
reset,ACTION
reset,ACTION
PIN,ORG
the last,DATE
Mandi,PERSON
today,DATE
a good day,DATE
IoT,ORG
Josie,PERSON
Netflix,ORG
1234567890,CARDINAL
Data Plan,SERVICE
5,CARDINAL
50,MONEY
Japan,GPE
China,GPE
Elena,PERSON
1-800-123-4567,CARDINAL
First,ORDINAL
Jason,PERSON
Maybell,ORG
today,DATE
Union Mobile,ORG
router,PRODUCT
Debbie,PERSON
internet,SERVICE
Emma,PERSON
VR,ORG
Can've,GPE
Miranda,PERSON
Apple,ORG
Samsung,ORG
Google,ORG
Edwina,PERSON
internet,SERVICE
Minnie,PERSON
upgrade,ACTION
Bennie,PERSON
Richard,PERSON
monthly,DATE
subscription,SERVICE
10%,PERCENT
subscription,SERVICE
today,DATE
afternoon,TIME
Union Mobile,ORG
Lavon,PERSON
today,DATE
Union Mobile,ORG
Inez,GPE
today,DATE
Coleen,PERSON
One,CARDINAL
roaming,SERVICE
roaming,SERVICE
Dana,PERSON
Union Mobile,ORG
Janet,PERSON
today,DATE
Union Mobile,ORG
Irene,PERSON
tomorrow,DATE
Union Mobile,ORG
Tamara,PERSON
today,DATE
Harriet,PERSON
Union Mobile,ORG
Eleanora,PERSON
today,DATE
Union Mobile,ORG
Hailey,PERSON
Pauline,PERSON
today,DATE
Cleo,PERSON
Muhammad,PERSON
escalate,ACTION
10,CARDINAL
GB,GPE
50,MONEY
an additional $20,MONEY
half,CARDINAL
first,ORDINAL
25,MONEY
50,MONEY
Joy,PERSON
Alena,PERSON
Classie,GPE
Lennie,PERSON
Naomi,PERSON
next Wednesday,DATE
Lakeisha,ORG
Petra,PERSON
today,DATE
Judith,PERSON
Union Mobile,ORG
Irene,PERSON
today,DATE
Kendall,PERSON
2:32 PM,TIME
3 minutes,TIME
555-1234,DATE
internet,SERVICE
Jillian,PERSON
today,DATE
today,DATE
Elsa,PERSON
Data Plan,SERVICE
5,CARDINAL
100,CARDINAL
50,MONEY
an additional $10,MONEY
Austin,PERSON
Rochelle,GPE
today,DATE
escalate,ACTION
the next 24 hours,TIME
Barry,PERSON
Ty! Our International,ORG
Data Plan,SERVICE
50,MONEY
5,CARDINAL
Eugenia,PERSON
IoT,ORG
Hi Kai,PERSON
two,CARDINAL
the Google Play Store,EVENT
iPhone,PRODUCT
12,CARDINAL
Vena,ORG
escalate,ACTION
refund,ACTION
First,ORDINAL
the App Store,ORG
Google Play Store,WORK_OF_ART
Cordie,PERSON
Sibyl,PERSON
Inga,PERSON
Ezra,PERSON
today,DATE
Spencer,PERSON
Union Mobile,ORG
Union Mobile,ORG
Vernell,ORG
today,DATE
Maurine,WORK_OF_ART
today,DATE
Earline,PERSON
Union Mobile,ORG
Union Mobile,ORG
Angelita,PERSON
today,DATE
Union Mobile,ORG
Lawanda,GPE
today,DATE
60,MONEY
Brett,PERSON
reset,ACTION
Union Mobile,ORG
one,CARDINAL
Guadalupe,PERSON
123 Main Street,FAC
Anytown,GPE
USA,GPE
Union Mobile,ORG
Estefany,ORG
today,DATE
Germaine,PERSON
API,ORG
Nikki,PERSON
Don,PERSON
Nicole,PERSON
VPN,PRODUCT
VPN,PRODUCT
Chaz,PERSON
Malvina,PERSON
SIM card,PRODUCT
the Premium Plan,LAW
15,CARDINAL
GB,GPE
Allene,PERSON
Waneta,PERSON
Caren,PERSON
Nest,ORG
router,PRODUCT
Netgear,ORG
Nighthawk,PRODUCT
today,DATE
Sarah,PERSON
Annetta,PERSON
Janell,PERSON
iPhone,PRODUCT
data plan,SERVICE
internet,SERVICE
Jodie,PERSON
today,DATE
1GB,MONEY
10,CARDINAL
GB,GPE
CRM,PRODUCT
eSports,ORG
data plan,SERVICE
Kitty,PERSON
today,DATE
Paola,PERSON
Lida,PERSON
Lina,PERSON
Rickie,PERSON
Isabella,PERSON
1234567890,DATE
1234,CARDINAL
Jonathan,PERSON
Teena,PERSON
Miguel,PERSON
Union Mobile,ORG
Jessy,PERSON
today,DATE
Dannie,PERSON
20,CARDINAL
GB,GPE
today,DATE
Lorie,PERSON
Cedric,PERSON
Leah,PERSON
about 10 seconds,TIME
David,PERSON
Firstly,ORDINAL
Union,ORG
Union Mobile,ORG
Evangeline,PERSON
today,DATE
Doris,PERSON
replace,ACTION
Ola,PERSON
Janna,PERSON
morning,TIME
Union Mobile,ORG
Chuck,PERSON
today,DATE
Cornelius,PERSON
today,DATE
Union Mobile,ORG
Annetta,PERSON
today,DATE
Mervin,PERSON
Roaming,SERVICE
Japan,GPE
20,CARDINAL
US,GPE
minutes,TIME
US,GPE
Wi-Fi,LOC
100,CARDINAL
40,MONEY
Thanke,PERSON
Union Mobile,ORG
Isabelle,PERSON
today,DATE
a few days,DATE
10,CARDINAL
GB,GPE
Wayne,PERSON
Cory,PERSON
Annie,PERSON
Union Mobile,ORG
Ossie,PERSON
today,DATE
Roku,ORG
Amazon Fire TV,ORG
the Union Mobile,ORG
a few minutes,TIME
PIN,ORG
the last,DATE
Union Mobile,ORG
PIN,ORG
1234,CARDINAL
555-555-5212,MONEY
Union Mobile,ORG
Stan,PERSON
today,DATE
Tayler,PERSON
Leticia,PERSON
a Galaxy S21 Ultra,ORG
Marcy,PERSON
Union Mobile,ORG
Camille,PERSON
Union Mobile,ORG
Melisa,PERSON
today,DATE
Aurelia,ORG
IoT,ORG
Coby,ORG
Artie,PERSON
Presley,PERSON
today,DATE
Yetta,ORG
Vida,PERSON
Union Mobile,ORG
today,DATE
Union Mobile,ORG
Abdullah,PERSON
today,DATE
reset,ACTION
PIN,ORG
Jeanette,PERSON
a week,DATE
Veronica,PERSON
IMEI,ORG
reset,ACTION
First,ORDINAL
Leland,PERSON
yesterday,DATE
a few hours later,TIME
Derick,PERSON
today,DATE
Susan,PERSON
afternoon,TIME
Union Mobile,ORG
Pennie,ORG
today,DATE
Cassie,PERSON
Union Mobile,ORG
morning,TIME
Union Mobile,ORG
Priscilla,PERSON
today,DATE
Carnell,PERSON
First,ORDINAL
router,PRODUCT
modem,PRODUCT
Stuart,PERSON
Darrick,PERSON
a minute,TIME
Catharine,PERSON
today,DATE
the 'Union Mobile TV',ORG
Deanna,PERSON
Elisa,PERSON
today,DATE
Kate,PERSON
Catherine,PERSON
Ida,PERSON
Maria,PERSON
today,DATE
Union Mobile,ORG
Kaden,PERSON
Wi-Fi,ORG
Bluetooth,WORK_OF_ART
Ilene,PERSON
first,ORDINAL
second,ORDINAL
Armand,PERSON
Ossie,PERSON
router,PRODUCT
PIN,ORG
9012,CARDINAL
1234567890,CARDINAL
Terry,PERSON
Marylou,PERSON
Jimmie,PERSON
Union Mobile,ORG
1234,CARDINAL
that day,DATE
Stacy,PERSON
Union Mobile,ORG
555-5678,MONEY
Union Mobile,ORG
Jacky,PERSON
today,DATE
Vesta Smith,ORG
123,CARDINAL
Anytown,GPE
Marvel,ORG
Kay,PERSON
iPhone,PRODUCT
14.3,CARDINAL
Union Mobile X10,ORG
Android,PRODUCT
the next 24 hours,TIME
today,DATE
dropped calls,ISSUE
Karley,PERSON
today,DATE
Jorge,PERSON
roaming,SERVICE
Linda,PERSON
5,CARDINAL
GB,GPE
45,MONEY
Elisabeth,PERSON
Sarah,PERSON
today,DATE
Maximilian,PERSON
Delphine,PERSON
Lucille,PERSON
today,DATE
Skylar,PERSON
Darrin,PERSON
Agatha,PERSON
Union Mobile,ORG
Antione,ORG
Lorene,PERSON
reset,ACTION
Reset,ACTION
reset,ACTION
refund,ACTION
today,DATE
Jerel,PERSON
Johnnie,PERSON
Find My Device,WORK_OF_ART
weeks,DATE
Gabrielle,PERSON
Kerry,PERSON
Union Mobile,ORG
replace,ACTION
Samsung Galaxy S21,PRODUCT
Valentine,PERSON
VPN,PRODUCT
the Premium Plan,LAW
Union Mobile,ORG
Ralph,PERSON
today,DATE
101,CARDINAL
102,CARDINAL
PIN,ORG
1234,CARDINAL
Magdalena,PERSON
today,DATE
Dorothy,PERSON
IoT,ORG
Harley,ORG
Alfredo,PERSON
555,CARDINAL
a few days,DATE
John,PERSON
"February 12th, 2002",DATE
Ona,PERSON
replace,ACTION
Verona,GPE
Jewel,PERSON
Union Mobile,ORG
3GB,CARDINAL
5,CARDINAL
GB,GPE
2GB,MONEY
Samsung Galaxy S9,PRODUCT
Rosemary,PERSON
12345,CARDINAL
1234,CARDINAL
Eddy,PERSON
today,DATE
Simone,PERSON
Armando,PERSON
upgrade,ACTION
the next three months,DATE
minutes,TIME
Union Mobile X10,ORG
Rudy,PERSON
Santa,GPE
Union Mobile,ORG
Isidro,GPE
morning,TIME
Union Mobile,ORG
Gearldine,PERSON
today,DATE
Ingrid,PERSON
today,DATE
Amaya,ORG
Laura,PERSON
today,DATE
Denice,PERSON
today,DATE
Dorthy,PERSON
today,DATE
Union Mobile,ORG
First,ORDINAL
about 30 seconds,TIME
20,MONEY
first month's,DATE
Data Plan,SERVICE
50,MONEY
Union Mobile,ORG
Data Plan,SERVICE
20,MONEY
Elsa Smith,PERSON
123,CARDINAL
Union Connect,ORG
Sallie,ORG
Keisha,PERSON
1234,CARDINAL
Aura,PERSON
Union Mobile,ORG
Mateo,GPE
today,DATE
afternoon,TIME
Union Mobile,ORG
Kenton,GPE
today,DATE
Union Mobile,ORG
First,ORDINAL
Myron,PERSON
CNN,ORG
HBO,ORG
ESPN,ORG
Lexus,ORG
Pauline,PERSON
Raymon,PERSON
Union Mobile,ORG
Susanna,PERSON
today,DATE
Samsung Galaxy S21,PRODUCT
Android,PRODUCT
12,CARDINAL
Marshall,PERSON
today,DATE
Mickey,PERSON
today,DATE
cancel,ACTION
first,ORDINAL
second,ORDINAL
one,CARDINAL
the last,DATE
four,CARDINAL
Samsung Galaxy S21,PRODUCT
Android,PRODUCT
11,CARDINAL
Elizabeth,PERSON
iPhone,PRODUCT
15.2,CARDINAL
1234567890,CARDINAL
First,ORDINAL
"the ""Global Advent",EVENT
Union Mobile,ORG
Arlene,PERSON
today,DATE
Felipe,PERSON
Stephanie,PERSON
First,ORDINAL
Union Mobile,ORG
the App Store,ORG
Google Play,WORK_OF_ART
escalate,ACTION
24 hours,TIME
Union Mobile,ORG
Elna,PERSON
XXXXXXX,PERSON
Sallie,PERSON
Martha,PERSON
PIN,ORG
the last,DATE
Erma,PERSON
Phillip,PERSON
escalate,ACTION
a complimentary month,DATE
Angeline,PERSON
today,DATE
Nelle,GPE
1,CARDINAL
GB,GPE
this month,DATE
about 3-5,CARDINAL
SIM card,PRODUCT
Union Mobile,ORG
Sanaa,GPE
today,DATE
1GB,CARDINAL
the next month,DATE
one,CARDINAL
1234567890,CARDINAL
Georgina,PERSON
tomorrow,DATE
afternoon,TIME
our2 PM,TIME
Royce,PERSON
Canpause,ORG
PIN,ORG
1234,CARDINAL
Union Mobile,ORG
Laverne,PERSON
First,ORDINAL
Wi-Fi,ORG
Hilary,PERSON
Sarah,PERSON
Leda,PERSON
Ila,PERSON
Elsa,PERSON
Rex,PERSON
about third,CARDINAL
a few days,DATE
roaming,SERVICE
One,CARDINAL
Dylan,PERSON
today,DATE
1234,CARDINAL
Spain,GPE
Luther,PERSON
today,DATE
Duane,PERSON
today,DATE
Matilda,PERSON
one,CARDINAL
Teresa,PERSON
5,CARDINAL
roaming,SERVICE
today,DATE
Therese,PERSON
escalate,ACTION
Cliff,PERSON
Sybil,PERSON
One,CARDINAL
subscription,SERVICE
Mandy,PERSON
Trisha,PERSON
Connie,PERSON
Havebye,PERSON
Barry,PERSON
Iright,ORG
Simon,PERSON
Demario,PERSON
555,CARDINAL
Pete,PERSON
Union Mobile,ORG
Dalton,PERSON
Itzel,PERSON
today,DATE
Union Mobile,ORG
Debra,PERSON
today,DATE
Johnathan,PERSON
$Y per,MONEY
Neta,PERSON
Mamie,PERSON
today,DATE
Santos,PERSON
Union Mobile,ORG
Baby,PRODUCT
today,DATE
afternoon,TIME
Union Mobile,ORG
Adrienne,PERSON
today,DATE
Latanya,PERSON
Rebecca,PERSON
escalate,ACTION
5,CARDINAL
GB,GPE
Christie,PERSON
Carlos,PERSON
Juanita,PERSON
a few minutes,TIME
"the ""Support",WORK_OF_ART
24 hours,TIME
Union Mobile,ORG
Chauncey,PERSON
today,DATE
Kristopher,PERSON
Magan,PERSON
555-555-5555,MONEY
Jennie,PERSON
first,ORDINAL
a month,DATE
IoT,ORG
Canada,GPE
yesterday,DATE
Lillie,PERSON
Union Mobile,ORG
Martina,PERSON
Union Mobile,ORG
today,DATE
Carson,PERSON
Union Mobile,ORG
Bybye,ORG
Union Mobile,ORG
Deandre,PERSON
Union Mobile,ORG
today,DATE
555,CARDINAL
PIN,ORG
1234,CARDINAL
Delora,PERSON
Malia,PERSON
Verna,PERSON
Mobile,ORG
Union Mobile,ORG
Gena,PERSON
today,DATE
Garnett,PERSON
Clyde,PERSON
Android,PRODUCT
11,CARDINAL
First,ORDINAL
Jajuan,PERSON
IoT,ORG
Rashad,PERSON
Union Mobile,ORG
a few minutes,TIME
1,CARDINAL
GB,GPE
Sandra,PERSON
5,CARDINAL
50,CARDINAL
GB,GPE
200,CARDINAL
GB,GPE
80,MONEY
Additionally'll,ORG
up to five,CARDINAL
Union Mobile,ORG
Alexis,PERSON
today,DATE
PIN,ORG
today,DATE
Union Mobile,ORG
Estelle,PERSON
today,DATE
Union Mobile,ORG
Nataly,PERSON
today,DATE
Kenya,GPE
Shirley,PERSON
Earline,PERSON
Europe,LOC
roaming,SERVICE
First,ORDINAL
Virgil,PERSON
today,DATE
Leo,PERSON
Union Mobile,ORG
CRM,PRODUCT
Boyd,PERSON
Jahiem,ORG
IoT,ORG
Odis,PERSON
Therese,PERSON
Janie,PERSON
PIN,ORG
the last,DATE
Ervin,PERSON
today,DATE
roaming,SERVICE
Global Data,ORG
Roaming,SERVICE
10,CARDINAL
GB,GPE
60,MONEY
only $10,MONEY
upgrade,ACTION
Tammy,PERSON
Chance,PERSON
Gale,PERSON
Monica,PERSON
5678,CARDINAL
Horace,PERSON
roaming,SERVICE
Isabella,PERSON
Hanna,PERSON
Union Mobile,ORG
Garett,PERSON
today,DATE
Carlo,PRODUCT
Canada,GPE
Mexico,GPE
Yeah'll,PERSON
Dena,PERSON
Juanita,PERSON
Susie,PERSON
Union Mobile,ORG
Nancie,PERSON
One,CARDINAL
morning,TIME
Union Mobile,ORG
Joy,PERSON
today,DATE
1234567890,CARDINAL
Carolyn,PERSON
today,DATE
Samsung Galaxy S21,PRODUCT
Union Mobile,ORG
Reuben,PERSON
today,DATE
Union Mobile,ORG
Claudia,PERSON
today,DATE
Lonny,PERSON
IoT,ORG
Good day,DATE
Union Mobile,ORG
Audie,PERSON
today,DATE
the next 24 hours,TIME
today,DATE
Union Mobile,ORG
Yolonda,ORG
today,DATE
Frankie,PERSON
Lisette,PERSON
Rowena,PERSON
Mason,ORG
today,DATE
afternoon,TIME
Union Mobile,ORG
Duke,ORG
today,DATE
Union Mobile,ORG
years,DATE
Bobbi,PERSON
Call Recording,WORK_OF_ART
Marianne,PERSON
Union Mobile,ORG
Leo,PERSON
today,DATE
Hadley,PERSON
Cancel,ACTION
Zora,PERSON
Union Mobile,ORG
the next 24 hours,TIME
Hortense,PERSON
today,DATE
Union Mobile,ORG
Tinnie,PERSON
today,DATE
Mildred,PERSON
Ragna,PERSON
Google,ORG
iCloud,ORG
Hilton,GPE
Jed,PERSON
Union Mobile,ORG
Ava,PERSON
today,DATE
Odelia,PERSON
Delphine,PERSON
24 hours,TIME
tomorrow,DATE
2 PM,TIME
Union Mobile,ORG
Mollie,PERSON
today,DATE
Union Mobile,ORG
Kareem,PERSON
today,DATE
Johnie,PERSON
replace,ACTION
one,CARDINAL
Elise,PERSON
Instagram,ORG
Facebook,ORG
morning,TIME
Union Mobile,ORG
Thea,PERSON
today,DATE
Good day,DATE
Union Mobile,ORG
Zita,PERSON
today,DATE
Website Blocking,WORK_OF_ART
"the ""App Blocking",EVENT
IoT,ORG
Union Mobile,ORG
Mellisa,PERSON
Hallie,PERSON
reset,ACTION
Germany,GPE
First,ORDINAL
Arrie,PERSON
Union Mobile,ORG
reset,ACTION
Clara,PERSON
today,DATE
Union Mobile,ORG
Corey,PERSON
today,DATE
data plan,SERVICE
an additional $30,MONEY
April,DATE
replace,ACTION
IoT,ORG
Union Mobile,ORG
Michel,PERSON
today,DATE
Louise,PERSON
UMX1234,ORG
LENS00123456789,ACCOUNT_ID
Leslie,PERSON
First,ORDINAL
Terance,PERSON
Japan,GPE
Tyrell,PERSON
the past year,DATE
Grace,PERSON
reset,ACTION
two,CARDINAL
a few minutes,TIME
Claudine,PERSON
IoT,ORG
the next hour,TIME
Union Mobile,ORG
a great day,DATE
Union Mobile,ORG
Eunice,PERSON
today,DATE
Milton,PERSON
Jessie,PERSON
Celestine,PERSON
roaming,SERVICE
today,DATE
Dena,PERSON
555-555-1234,MONEY
Martin,PERSON
roaming,SERVICE
Wi-Fi,LOC
Bernice,PERSON
555,CARDINAL
Nicholas,PERSON
Mettie,PERSON
5,CARDINAL
today,DATE
Thelma,PERSON
Sierra,PERSON
10,MONEY
today,DATE
Thanksright,ORG
Clear Cache,WORK_OF_ART
Sammie,PERSON
1234567890,CARDINAL
Rosa,PERSON
Kennith,PERSON
today,DATE
Genevieve,PERSON
today,DATE
Esperanza,PERSON
Angelique,PERSON
Union Mobile,ORG
a fant day,DATE
James,PERSON
iPhone,PRODUCT
12,CARDINAL
Adelle,PERSON
Apple,ORG
iPhone,PRODUCT
14,CARDINAL
A14 Bionic,PRODUCT
Willie,PERSON
Union Mobile,ORG
Phebe,PERSON
Brody,PERSON
Timmy,PERSON
Hector,PERSON
Robert,PERSON
Los Angeles,GPE
Nelson,PERSON
MyUnion,PERSON
PIN,ORG
Elena,PERSON
Union Mobile,ORG
1-800-123-4567,CARDINAL
Friday,DATE
9 am to 5 pm,TIME
Jeff,PERSON
Justpause,ORG
Anytown,GPE
IoT,ORG
Steve,PERSON
555,CARDINAL
10,CARDINAL
GB,ORG
2000,DATE
10,MONEY
Una,ORG
Alice,PERSON
today,DATE
VPN,PRODUCT
Union Mobile,ORG
Glenna,LANGUAGE
today,DATE
Alisa,PERSON
Milton,PERSON
today,DATE
Malcolm,PERSON
Union Mobile,ORG
Ray,PERSON
Maymie,PERSON
Cloud,GPE
last week,DATE
Bonnie,PERSON
reset,ACTION
Jacklyn,PERSON
Samsung Galaxy S21,PRODUCT
Janay,PERSON
one,CARDINAL
Gilda,PERSON
more than,CARDINAL
a month,DATE
voicemail,SERVICE
David,PERSON
Cloud DVR,ORG
DVR,ORG
Kimberlee,PERSON
voicemail,SERVICE
SIM card,PRODUCT
Felix,PERSON
Union Mobile,ORG
today,DATE
Union Mobile,ORG
Ivette,PERSON
today,DATE
Clyde,PERSON
Louis,GPE
1234567890,CARDINAL
today,DATE
Etta,PERSON
Diana,PERSON
DIY,ORG
Aidan,PERSON
Lydia,PERSON
200,MONEY
Nora,PERSON
Union Mobile,ORG
Gilda,PERSON
today,DATE
Marybeth,PERSON
Fay,PERSON
IoT,ORG
Arie,PERSON
Union Mobile,ORG
Viva,ORG
today,DATE
Katerina,PERSON
Neva,PERSON
Octavia,PERSON
5,CARDINAL
XX1234567890,ACCOUNT_ID
Samsung Galaxy S22 Ultra,ORG
Union Mobile,ORG
Rubye,PERSON
First,ORDINAL
1234567890,CARDINAL
PIN,ORG
1234,CARDINAL
Avis,PERSON
Robert,PERSON
a good day,DATE
Catherine,PERSON
20,CARDINAL
GB,GPE
5,CARDINAL
50,CARDINAL
GB,GPE
Brian,PERSON
voicemail,SERVICE
Becky,PERSON
Miles,PERSON
Constance,PERSON
Cloud DVR,ORG
First,ORDINAL
Union Mobile,ORG
Union Mobile,ORG
today,DATE
Battery Life,WORK_OF_ART
Leona,PERSON
Family Plan,WORK_OF_ART
the 15th of each month,DATE
